ENTREZID,SYMBOL,GENENAME,T_20171006MN1_B06P1_Run1,T_20171006MN1_C05P1_Run1,T_20171006MN1_C06P1_Run1,T_20171006MN1_D07P1_Run1,T_20171006MN1_F04P1_Run1,T_20171006MN1_F05P1_Run1,T_20171006MN1_G05P1_Run1,T_20171006MN1_G06P1_Run1,T_20171006MN1_H04P1_Run1,T_20171006MN1_H05P1_Run1
Sample_type -->,,,IBD,IBD,non-IBD,non-IBD,non-IBD,IBD,IBD,non-IBD,IBD,non-IBD
653635,WASH7P,"WAS protein family homolog 7, pseudogene",498.9959139,349.4441012,771.955567,675.9286813,716.8246931,444.0773681,502.0661309,667.9167132,498.6169279,809.0140887
100422834,MIR1302-10,microRNA 1302-10,0,0,0,0,0,0,0,0,0,0
645520,FAM138A,family with sequence similarity 138 member A,0,0,0,0.748536746,0,3.409423172,0,1.385719322,0,0
79501,OR4F5,olfactory receptor family 4 subfamily F member 5,0,0,0,0,0,0,0,0,0,0
729737,LOC729737,uncharacterized LOC729737,139.4887713,39.70955695,73.77663927,144.4675919,68.82450267,70.74553081,73.51124035,74.82884339,366.2407524,98.44197982
100507658,NA,NA,15.81831427,3.176764556,10.79658136,8.982440948,6.415843469,9.375913722,12.51255155,5.542877288,22.06269593,16.10868761
100132287,LOC100132287,uncharacterized LOC100132287,111.4472142,52.41661518,147.5532785,119.0173426,74.65708764,74.15495399,106.3566882,121.9433003,470.6708464,134.2390634
100288646,NA,NA,5.033099996,1.588382278,10.79658136,4.491220474,2.333033989,7.671202136,1.564068944,3.464298305,5.88338558,8.949270893
729759,OR4F29,olfactory receptor family 4 subfamily F member 29,2.157042855,0,0,0,0,0,0,0,0,3.579708357
100131754,NA,NA,7397.93798,3807.35232,16455.78942,13011.81425,10983.34076,4680.285659,10498.03075,10733.08901,7365.998746,33849.72223
81399,OR4F16,olfactory receptor family 4 subfamily F member 16,1.43802857,0,0,0,0,0,0,0,0,3.579708357
100287654,NA,NA,2.157042855,0,3.598860452,0.748536746,4.082809481,2.557067379,3.128137887,4.157157966,5.88338558,8.949270893
100133331,LOC100133331,uncharacterized LOC100133331,188.3817427,146.1311696,133.1578367,122.0114895,93.32135955,121.0345226,197.0726869,162.8220203,1011.94232,182.5651262
100288069,LOC100288069,uncharacterized LOC100288069,57.52114281,39.70955695,82.77379041,95.0641667,68.82450267,77.56437716,79.76751612,124.714739,67.65893417,155.7173135
100287934,NA,NA,8.628171422,17.47220506,37.78803475,19.46195539,19.83078891,2.557067379,6.256275774,6.92859661,4.412539185,19.68839596
400728,FAM87B,family with sequence similarity 87 member B,22.28944284,15.88382278,53.98290679,34.4326903,18.08101341,20.45653903,6.256275774,22.17150915,27.94608151,55.48547954
79854,LINC00115,long intergenic non-protein coding RNA 115,37.38874283,55.59337973,61.18062769,59.13440291,41.4113533,50.28899178,81.33158506,67.20738712,58.8338558,121.7100841
643837,LINC01128,long intergenic non-protein coding RNA 1128,141.6458142,135.0124936,111.564674,265.7305447,158.0630527,163.6523122,126.6895844,243.193741,175.030721,127.0796467
100506327,NA,NA,94.19087135,76.24234935,77.37549973,52.3975722,111.9856315,61.36961709,59.43461985,67.90024678,129.4344828,73.38402132
284593,FAM41C,family with sequence similarity 41 member C,1.43802857,0,7.197720905,1.497073491,1.166516994,2.557067379,0,5.542877288,2.94169279,7.159416714
